uniprot_accession,description,taxid,species,database,database_version,search_engine,best_score,score_ms_run1,num_psms,num_peptides_distinct,num_peptides_unique,ambiguity_members,modifications,protein_coverage,is_decoy,opt_global_num_merge_proteins,opt_global_duplicated_proteins_search_engines,opt_global_duplicated_proteins_best_search_engines_score,opt_global_duplicated_proteins_search_engines_scores,opt_global_duplicated_proteins_had_quantification,gene_name,protein_name,organism,hcp_risk
P00350,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",Escherichia coli (strain K12),Low
P00634,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,12,12,0,null,null,0.0,0,1,null,null,null,0,phoA,Alkaline phosphatase,Escherichia coli (strain K12),High
P02925,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,rbsB,Ribose import binding protein RbsB,Escherichia coli (strain K12),Low
P04951,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,Escherichia coli (strain K12),Trace
P06959,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,aceF,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,Escherichia coli (strain K12),Low
P06996,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,ompC,Outer membrane porin C,Escherichia coli (strain K12),High
P08200,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,icd,Isocitrate dehydrogenase [NADP],Escherichia coli (strain K12),Trace
P08839,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,ptsI,Phosphoenolpyruvate-protein phosphotransferase,Escherichia coli (strain K12),Trace
P0A6A8,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,acpP,Acyl carrier protein,Escherichia coli (strain K12),Trace
P0A6F5,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,9,9,0,null,null,0.0,0,1,null,null,null,0,groEL,Chaperonin GroEL,Escherichia coli (strain K12),High
P0A6M8,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,6,6,0,null,null,0.0,0,1,null,null,null,0,fusA,Elongation factor G,Escherichia coli (strain K12),Medium
P0A6N1,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,4,4,0,null,null,0.0,0,1,null,null,null,0,,,,Low
P0A6P1,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,tsf,Elongation factor Ts,Escherichia coli (strain K12),Low
P0A6P9,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,3,3,0,null,null,0.0,0,1,null,null,null,0,eno,Enolase,Escherichia coli (strain K12),Low
P0A6Y8,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,22,22,0,null,null,0.0,0,1,null,null,null,0,dnaK,Chaperone protein DnaK,Escherichia coli (strain K12),High
P0A7K2,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,rplL,Large ribosomal subunit protein bL12,Escherichia coli (strain K12),Low
P0A855,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,12,12,0,null,null,0.0,0,1,null,null,null,0,tolB,Tol-Pal system protein TolB,Escherichia coli (strain K12),Medium
P0A8E7,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,yajQ,Nucleotide-binding protein YajQ,Escherichia coli (strain K12),Trace
P0A8G6,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,wrbA,NAD(P)H dehydrogenase (quinone),Escherichia coli (strain K12),Trace
P0A8N3,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,lysS,Lysine--tRNA ligase,Escherichia coli (strain K12),Trace
P0A8N5,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,lysU,"Lysine--tRNA ligase, heat inducible",Escherichia coli (strain K12),Trace
P0A910,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,6,6,0,null,null,0.0,0,1,null,null,null,0,ompA,Outer membrane protein A,Escherichia coli (strain K12),High
P0A9B2,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,3,3,0,null,null,0.0,0,1,null,null,null,0,gapA,Glyceraldehyde-3-phosphate dehydrogenase A,Escherichia coli (strain K12),Low
P0AA16,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,ompR,DNA-binding dual transcriptional regulator OmpR,Escherichia coli (strain K12),Trace
P0AB55,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,yciI,Protein YciI,Escherichia coli (strain K12),Trace
P0AB91,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,aroG,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",Escherichia coli (strain K12),Trace
P0ABP8,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,deoD,Purine nucleoside phosphorylase DeoD-type,Escherichia coli (strain K12),Low
P0ABT2,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,11,11,0,null,null,0.0,0,1,null,null,null,0,dps,DNA protection during starvation protein,Escherichia coli (strain K12),Medium
P0AC47,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,frdB,Fumarate reductase iron-sulfur subunit,Escherichia coli (strain K12),Low
P0AC59,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,grxB,Glutaredoxin 2,Escherichia coli (strain K12),Low
P0AC62,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,grxC,Glutaredoxin 3,Escherichia coli (strain K12),Trace
P0AE08,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,7,7,0,null,null,0.0,0,1,null,null,null,0,ahpC,Alkyl hydroperoxide reductase C,Escherichia coli (strain K12),Medium
P0AEG6,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,dsbC,Thiol:disulfide interchange protein DsbC,Escherichia coli (strain K12),Trace
P0AES9,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,hdeA,Acid stress chaperone HdeA,Escherichia coli (strain K12),Low
P0AEU7,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,3,3,0,null,null,0.0,0,1,null,null,null,0,skp,Chaperone protein Skp,Escherichia coli (strain K12),Low
P0AF93,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,ridA,2-iminobutanoate/2-iminopropanoate deaminase,Escherichia coli (strain K12),Trace
P0AFU8,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,ribC,Riboflavin synthase,Escherichia coli (strain K12),Trace
P0AG67,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,rpsA,Small ribosomal subunit protein bS1,Escherichia coli (strain K12),Trace
P0AGE0,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,ssb,Single-stranded DNA-binding protein,Escherichia coli (strain K12),Trace
P0C0L2,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,osmC,Peroxiredoxin OsmC,Escherichia coli (strain K12),Trace
P16682,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,phnD,Phosphonates-binding periplasmic protein,Escherichia coli (strain K12),Trace
P23843,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,24,23,0,null,null,0.0,0,1,null,null,null,0,oppA,Periplasmic oligopeptide-binding protein OppA,Escherichia coli (strain K12),Medium
P23847,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,20,19,0,null,null,0.0,0,1,null,null,null,0,dppA,Dipeptide-binding protein,Escherichia coli (strain K12),Medium
P23869,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,3,3,0,null,null,0.0,0,1,null,null,null,0,ppiB,Peptidyl-prolyl cis-trans isomerase B,Escherichia coli (strain K12),Low
P26281,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,6,6,0,null,null,0.0,0,1,null,null,null,0,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,Escherichia coli (strain K12),Medium
P36659,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,cbpA,Curved DNA-binding protein,Escherichia coli (strain K12),Low
P36683,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,acnB,Aconitate hydratase B,Escherichia coli (strain K12),Trace
P68066,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,1,1,0,null,null,0.0,0,1,null,null,null,0,grcA,Autonomous glycyl radical cofactor,Escherichia coli (strain K12),Trace
P69441,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,7,7,0,null,null,0.0,0,1,null,null,null,0,adk,Adenylate kinase,Escherichia coli (strain K12),Medium
P69776,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,lpp,Major outer membrane lipoprotein Lpp,Escherichia coli (strain K12),High
P69783,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,2,2,0,null,null,0.0,0,1,null,null,null,0,crr,PTS system glucose-specific EIIA component,Escherichia coli (strain K12),Low
P69908,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,5,5,0,null,null,0.0,0,1,null,null,null,0,gadA,Glutamate decarboxylase alpha,Escherichia coli (strain K12),Medium
P69910,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,5,5,0,null,null,0.0,0,1,null,null,null,0,gadB,Glutamate decarboxylase beta,Escherichia coli (strain K12),Medium
P75820,null,null,null,UniProtKB/Swissprot,Swiss Prot K12 database,"[MS, MS:1001456, analysis software, ]",2.0,2.0,6,6,0,null,null,0.0,0,1,null,null,null,0,amiD,N-acetylmuramoyl-L-alanine amidase AmiD,Escherichia coli (strain K12),Medium
